"campaignid","sample","filename","periodtime","family","genus","species","maxn","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2019-08_Ningaloo_stereo-BRUVs","1.06","1.06_L378.avi","12.93800","Triakidae","Mustelus","ravidus",1,"-22.83153691","113.523387","12082019","10:06:00","Ningaloo Marine Park",NA,"1","?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.01","10.01_L373.avi","9.07867","Acanthuridae","Naso","hexacanthus",6,"-22.67587323","113.5564085","14082019","12:13:00","Ningaloo Marine Park",NA,"10","93","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","10.01","10.01_L373.avi","7.44667","Carangidae","Seriola","dumerili",1,"-22.67587323","113.5564085","14082019","12:13:00","Ningaloo Marine Park",NA,"10","93","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","10.01","10.01_L373.avi","13.71267","Carcharhinidae","Carcharhinus","plumbeus",1,"-22.67587323","113.5564085","14082019","12:13:00","Ningaloo Marine Park",NA,"10","93","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","10.01","10.01_L373.avi","20.69000","Echeneidae","Echeneis","naucrates",2,"-22.67587323","113.5564085","14082019","12:13:00","Ningaloo Marine Park",NA,"10","93","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","10.01","10.01_L373.avi","21.58933","Labridae","Bodianus","solatus",2,"-22.67587323","113.5564085","14082019","12:13:00","Ningaloo Marine Park",NA,"10","93","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","10.01","10.01_L373.avi","25.34600","Labridae","Choerodon","zamboangae",2,"-22.67587323","113.5564085","14082019","12:13:00","Ningaloo Marine Park",NA,"10","93","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","10.01","10.01_L373.avi","8.64467","Lethrinidae","Gymnocranius","grandoculis",3,"-22.67587323","113.5564085","14082019","12:13:00","Ningaloo Marine Park",NA,"10","93","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","10.01","10.01_L373.avi","19.39067","Lethrinidae","Gymnocranius","griseus",1,"-22.67587323","113.5564085","14082019","12:13:00","Ningaloo Marine Park",NA,"10","93","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","10.01","10.01_L373.avi","13.33333","Lethrinidae","Lethrinus","miniatus",5,"-22.67587323","113.5564085","14082019","12:13:00","Ningaloo Marine Park",NA,"10","93","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","10.01","10.01_L373.avi","19.28333","Lethrinidae","Lethrinus","ravus",2,"-22.67587323","113.5564085","14082019","12:13:00","Ningaloo Marine Park",NA,"10","93","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","10.01","10.01_L373.avi","9.39333","Mullidae","Parupeneus","spilurus",1,"-22.67587323","113.5564085","14082019","12:13:00","Ningaloo Marine Park",NA,"10","93","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","10.01","10.01_L373.avi","24.69667","Pomacanthidae","Pomacanthus","semicirculatus",2,"-22.67587323","113.5564085","14082019","12:13:00","Ningaloo Marine Park",NA,"10","93","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","10.01","10.01_L373.avi","11.91200","Serranidae","Epinephelus","areolatus",1,"-22.67587323","113.5564085","14082019","12:13:00","Ningaloo Marine Park",NA,"10","93","Charlotte Aston","Yes","No"
"2019-08_Ningaloo_stereo-BRUVs","10.02","10.02_L369.avi","2.39600","Apogonidae","Cheilodipterus","quinquelineatus",2,"-22.67334399","113.5564085","14082019","12:19:00","Ningaloo Marine Park",NA,"10","95","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.02","10.02_L369.avi","31.06733","Labridae","Bodianus","solatus",3,"-22.67334399","113.5564085","14082019","12:19:00","Ningaloo Marine Park",NA,"10","95","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.02","10.02_L369.avi","6.12667","Lethrinidae","Gymnocranius","griseus",1,"-22.67334399","113.5564085","14082019","12:19:00","Ningaloo Marine Park",NA,"10","95","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.02","10.02_L369.avi","40.04533","Lethrinidae","Lethrinus","miniatus",8,"-22.67334399","113.5564085","14082019","12:19:00","Ningaloo Marine Park",NA,"10","95","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.02","10.02_L369.avi","21.30733","Mullidae","Parupeneus","chrysopleuron",1,"-22.67334399","113.5564085","14082019","12:19:00","Ningaloo Marine Park",NA,"10","95","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.02","10.02_L369.avi","59.59467","Pinguipedidae","Parapercis","nebulosa",3,"-22.67334399","113.5564085","14082019","12:19:00","Ningaloo Marine Park",NA,"10","95","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs","10.02","10.02_L369.avi","6.56800","Scaridae","Scarus","ghobban",1,"-22.67334399","113.5564085","14082019","12:19:00","Ningaloo Marine Park",NA,"10","95","Charlotte Aston","Yes","Yes"
