"id","campaignid","sample","family","genus","species","length","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Serranidae","Epinephelus","areolatus",333.92966,1074.42705,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.04","2019-08_Ningaloo_stereo-BRUVs",1.04,"Triakidae","Mustelus","ravidus",543.1618,3634.14793,-22.8402743,113.5183981,12082019,09:51:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.06","2019-08_Ningaloo_stereo-BRUVs",1.06,"Balistidae","Abalistes","filamentosus",301.74046,3704.49579,-22.83153691,113.523387,12082019,10:06:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.06","2019-08_Ningaloo_stereo-BRUVs",1.06,"Balistidae","Abalistes","filamentosus",314.84974,2686.85585,-22.83153691,113.523387,12082019,10:06:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.06","2019-08_Ningaloo_stereo-BRUVs",1.06,"Carangidae","Carangoides","chrysophrys",409.58634,3000.03582,-22.83153691,113.523387,12082019,10:06:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.06","2019-08_Ningaloo_stereo-BRUVs",1.06,"Carangidae","Decapterus","spp",291.20338,4318.81585,-22.83153691,113.523387,12082019,10:06:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.06","2019-08_Ningaloo_stereo-BRUVs",1.06,"Carangidae","Decapterus","spp",279.49697,3914.09644,-22.83153691,113.523387,12082019,10:06:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.06","2019-08_Ningaloo_stereo-BRUVs",1.06,"Carcharhinidae","Carcharhinus","plumbeus",1333.56937,4872.41133,-22.83153691,113.523387,12082019,10:06:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.06","2019-08_Ningaloo_stereo-BRUVs",1.06,"Labridae","Bodianus","solatus",346.02537,2137.82181,-22.83153691,113.523387,12082019,10:06:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.06","2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Gymnocranius","euanus",381.69873,2247.43083,-22.83153691,113.523387,12082019,10:06:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.06","2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Gymnocranius","euanus",369.54493,2574.6122,-22.83153691,113.523387,12082019,10:06:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.06","2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Gymnocranius","grandoculis",293.90527,3613.37855,-22.83153691,113.523387,12082019,10:06:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.06","2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Gymnocranius","grandoculis",372.99135,2908.44998,-22.83153691,113.523387,12082019,10:06:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.06","2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Gymnocranius","grandoculis",380.88463,2144.18808,-22.83153691,113.523387,12082019,10:06:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.06","2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Lethrinus","rubrioperculatus",345.53045,1684.50522,-22.83153691,113.523387,12082019,10:06:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.06","2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Lethrinus","rubrioperculatus",229.02643,5118.10159,-22.83153691,113.523387,12082019,10:06:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.06","2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Lethrinus","rubrioperculatus",284.3515,5024.5836,-22.83153691,113.523387,12082019,10:06:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.06","2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Lethrinus","rubrioperculatus",319.88487,1853.62272,-22.83153691,113.523387,12082019,10:06:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.06","2019-08_Ningaloo_stereo-BRUVs",1.06,"Lethrinidae","Lethrinus","rubrioperculatus",315.93871,1969.00925,-22.83153691,113.523387,12082019,10:06:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
"2019-08_Ningaloo_stereo-BRUVs.1.06","2019-08_Ningaloo_stereo-BRUVs",1.06,"Lutjanidae","Lutjanus","sebae",502.55186,1587.45892,-22.83153691,113.523387,12082019,10:06:00,"Ningaloo Marine Park","NA",1,"?","Charlotte Aston","Yes","Yes"
